autoID,ScopeItemID,Description,LOB,BusinessArea,Status,AE,AR,AT,AU,BE,BG,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IND,IT,JP,KR,KW,KZ,LU,MX,MY,NL,NR,NZ,OM,PE,PH,PL,PT,QA,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,ZA,Non_Localised
11,43R,Maintenance Resource Scheduling,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
12,4WM,Operational and Overhead Maintenance,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
13,BJ2,Preventive Maintenance (successor: 4HI),Asset Management,Maintenance Management,Deprecated,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,No
14,4HI,Proactive Maintenance,Asset Management,Maintenance Management,Available,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
15,4HH,Reactive Maintenance,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
16,4RV,SAP Maintenance Assistant,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
17,53M,ABAP Core Data Services Extraction for SAP Data Intelligence,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
18,53L,ABAP Core Data Services Extraction for SAP Datasphere,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
19,6N4,ABAP Core Data Services Extraction for SAP HANA,Database and Data Management,Enterprise Information Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,Released
20,55F,Automotive Supply to Customer - Inventory Management,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,No,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
21,35D,Core Data Services-Based Extraction with SAP S/4HANA Cloud,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
22,JB1,Core HR with SAP SuccessFactors Employee Central,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
23,5I9,Customer Data Return,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
24,BH3,Data Migration to SAP S/4HANA from SAP,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
25,2Q2,Data Migration to SAP S/4HANA from Staging,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
26,5LE,Data Protection and Privacy,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
27,6N9,Data Protection and Privacy - Data Controller and Purpose,Database and Data Management,Enterprise Information Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,Released
28,4AP,Data Quality Management for Business Partner,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
29,4AQ,Data Quality Management for Product,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
30,53V,Digital Payments Foundation,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
31,1FD,Employee Integration - SAP S/4HANA Enablement,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
32,4LO,Enablement of SAP Excise Tax Management,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,No
33,6GD,Engineer Products and Systems - Project with Production,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,No,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
34,62R,Excise Tax - Consumer Products,Database and Data Management,Enterprise Information Management,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35,1YB,Import Connection Setup with SAP Analytics Cloud,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
36,1KA,Information Lifecycle Management,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
37,2UZ,Integration with Data Quality Management,Database and Data Management,Enterprise Information Management,Available,Released,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,No,Released,No,No,No,No,No,Released,No,No,Released,No,Released
38,55E,Lot Size of One with Advanced Variant Configuration,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,No,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Planned
39,1RK,Mass Load and Mass Maintenance for Business Partner,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
40,1RM,Mass Load and Mass Maintenance for Product,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
41,1N7,Mass Processing for Business Partner,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
42,1N5,Mass Processing for Product,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
43,1N3,Master Data Consolidation for Business Partner,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
44,1N1,Master Data Consolidation for Product,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
45,1RO,Master Data Integration,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
46,3UP,Payroll Processing with SAP ERP HCM Payroll,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No
47,1NL,Payroll Processing with SAP SuccessFactors Employee Central Payroll,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
48,54U,Produce and Sell Standard Products - Inventory Management,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
49,54V,Produce and Sell Standard Products - Warehouse Managed,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Planned
50,1NJ,Responsibility Management,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
51,3N5,SAP Enable Now Integration,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
52,1UG,SAP S/4HANA Cloud Integration with SAP Marketing Cloud,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,No
53,1XV,SAP S/4HANA for Enterprise Contract Management,Database and Data Management,Enterprise Information Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
54,1W4,Subsidiary Integration of SAP S/4HANA Cloud to Central Finance,Database and Data Management,Enterprise Information Management,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
55,6IL,Account Reconciliation - SAP Solution Extensions by BlackLine,Finance,Accounting and Financial Close,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,No,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
56,J58,Accounting and Financial Close,Finance,Accounting and Financial Close,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
57,1GA,Accounting and Financial Close - Group Ledger IFRS,Finance,Accounting and Financial Close,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
58,2VA,Accounting and Financial Close - Group Ledger US GAAP,Finance,Accounting and Financial Close,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
59,5NU,Accounting Enhancements for Banking,Finance,Accounting and Financial Close,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
60,78J,Accounting Enhancements for Insurance,Finance,Accounting and Financial Close,Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No
61,33Q,Actual Costing,Finance,Accounting and Financial Close,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
62,J62,Asset Accounting,Finance,Accounting and Financial Close,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
63,5HG,Asset Accounting   Additional Depreciation Area,Finance,Accounting and Financial Close,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
64,6VB,Asset Accounting   Additional Depreciation Keys for Local GAAPs,Finance,Accounting and Financial Close,Available,No,No,No,No,Released,No,Released,No,No,No,Released,No,No,No,No,No,No,No,Released,No,No,No,No,No,No,No,No,Released,No,Released,No,No,No,No,Released,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Released,No,No,No,Released,No,No
